Province,Municipality,general_account_expenditure,special_account_expenditure
Gyeongnam,Hadong-gun,523416460343,87865382300
Gyeongnam,Sancheong-gun,487227787750,24879024550
Gyeongnam,Hamyang-gun,523330968494,15697866230
Gyeongnam,Geochang-gun,570568699723,49055987570
Gyeongnam,Hapcheon-gun,629129879814,32996714932
Gangwon,Chuncheon-si,1322779032490,213433092598
Gangwon,Wonju-si,1494428639520,185212169148
Gangwon,Gangneung-si,1165065843008,159089420551
Gangwon,Donghae-si,478016006219,51574413720
Gangwon,Taebaek-si,372093681253,27997064494
Gangwon,Sokcho-si,443077336066,88454884497
Gangwon,Samcheok-si,751441391638,47934289701
Gangwon,Hongcheon-gun,665218580550,62388267382
Gangwon,Hoengseong-gun,494574171018,86549928962
Gangwon,Yeongwol-gun,466664253676,38851493160
Gangwon,Pyeongchang-gun,499038807081,52204804796
Gangwon,Jeongseon-gun,482757592916,41410471363
Gangwon,Cheorwon-gun,520560207922,30756411040
Gangwon,Hwacheon-gun,358964211975,36763789937
Gangwon,Yanggu-gun,354291087291,34376905651
Gangwon,Inje-gun,497061909966,70982132664
Gangwon,Goseong-gun,406233041834,28274880745
Gangwon,Yangyang-gun,341956394407,24263448451
Jeju,Jeju-si,1828443000000,56519063000
Jeju,Seogwipo-si,1054529000000,36205060000
