Province,Municipality,Sector
Jeonnam,Hwasun-gun,Metal foundries
Jeonbuk,Muju-gun,Metal foundries
Jeonbuk,Buan-gun,Metal foundries
Jeonbuk,Sunchang-gun,Metal foundries
Jeonbuk,Imsil-gun,Metal foundries
Jeonbuk,Jangsu-gun,Metal foundries
Jeonbuk,Jinan-gun,Metal foundries
Jeju,Seogwipo-si,Metal foundries
Chungnam,Gyeryong-si,Metal foundries
Chungnam,Boryeong-si,Metal foundries
Chungnam,Seocheon-gun,Metal foundries
Chungnam,Taean-gun,Metal foundries
Chungbuk,Danyang-gun,Metal foundries
Chungbuk,Yeongdong-gun,Metal foundries
Chungbuk,Jecheon-si,Metal foundries
Chungbuk,Jeungpyeong-gun,Metal foundries
Gangwon,Goseong-gun,Basic chemical products
Gangwon,Donghae-si,Basic chemical products
Gangwon,Sokcho-si,Basic chemical products
Gangwon,Yanggu-gun,Basic chemical products
Gangwon,Yangyang-gun,Basic chemical products
Gangwon,Inje-gun,Basic chemical products
Gangwon,Hwacheon-gun,Basic chemical products
Gyeonggi,Gwacheon-si,Basic chemical products
Gyeonggi,Guri-si,Basic chemical products
Gyeongnam,Geoje-si,Basic chemical products
Gyeongnam,Geochang-gun,Basic chemical products
Gyeongnam,Tongyeong-si,Basic chemical products
Gyeongnam,Hamyang-gun,Basic chemical products
Gyeongnam,Hapcheon-gun,Basic chemical products
Gyeongbuk,Gunwi-gun,Basic chemical products
Gyeongbuk,Bonghwa-gun,Basic chemical products
Gyeongbuk,Yeongyang-gun,Basic chemical products
Gyeongbuk,Yecheon-gun,Basic chemical products
Gyeongbuk,Uiseong-gun,Basic chemical products
Gyeongbuk,Cheongsong-gun,Basic chemical products
Gwangju,Dong-gu,Basic chemical products
Gwangju,Seo-gu,Basic chemical products
Daegu,Dong-gu,Basic chemical products
Busan,Dong-gu,Basic chemical products
Busan,Dongnae-gu,Basic chemical products
Busan,Buk-gu,Basic chemical products
Busan,Seo-gu,Basic chemical products
Busan,Yeongdo-gu,Basic chemical products
Busan,Jung-gu,Basic chemical products
Busan,Haeundae-gu,Basic chemical products
Seoul,Gangdong-gu,Basic chemical products
Seoul,Gangseo-gu,Basic chemical products
Seoul,Gwanak-gu,Basic chemical products
Seoul,Dongdaemun-gu,Basic chemical products
Seoul,Mapo-gu,Basic chemical products
Seoul,Seodaemun-gu,Basic chemical products
Seoul,Seongdong-gu,Basic chemical products
Seoul,Yangcheon-gu,Basic chemical products
Seoul,Yongsan-gu,Basic chemical products
Ulsan,Dong-gu,Basic chemical products
Incheon,Ganghwa-gun,Basic chemical products
Jeonnam,Gangjin-gun,Basic chemical products
Jeonnam,Goheung-gun,Basic chemical products
Jeonnam,Gurye-gun,Basic chemical products
Jeonnam,Muan-gun,Basic chemical products
Jeonnam,Boseong-gun,Basic chemical products
Jeonnam,Sinan-gun,Basic chemical products
Jeonnam,Yeonggwang-gun,Basic chemical products
Jeonnam,Jangheung-gun,Basic chemical products
Jeonnam,Jindo-gun,Basic chemical products
Jeonnam,Hampyeong-gun,Basic chemical products
Jeonnam,Hwasun-gun,Basic chemical products
Jeonbuk,Namwon-si,Basic chemical products
Jeonbuk,Muju-gun,Basic chemical products
Jeonbuk,Buan-gun,Basic chemical products
Jeonbuk,Sunchang-gun,Basic chemical products
Jeonbuk,Imsil-gun,Basic chemical products
Jeonbuk,Jinan-gun,Basic chemical products
Chungnam,Gyeryong-si,Basic chemical products
Chungnam,Buyeo-gun,Basic chemical products
Chungnam,Cheongyang-gun,Basic chemical products
Chungbuk,Yeongdong-gun,Basic chemical products
Busan,Dong-gu,Other non-metallic mineral products
Busan,Jung-gu,Other non-metallic mineral products
Gangwon,Samcheok-si,Other transport equipment
Gangwon,Sokcho-si,Other transport equipment
Gangwon,Yanggu-gun,Other transport equipment
Gangwon,Yangyang-gun,Other transport equipment
Gangwon,Inje-gun,Other transport equipment
Gangwon,Jeongseon-gun,Other transport equipment
Gangwon,Cheorwon-gun,Other transport equipment
Gangwon,Taebaek-si,Other transport equipment
Gangwon,Pyeongchang-gun,Other transport equipment
Gangwon,Hongcheon-gun,Other transport equipment
Gangwon,Hwacheon-gun,Other transport equipment
Gyeonggi,Dongducheon-si,Other transport equipment
Gyeongnam,Namhae-gun,Other transport equipment
Gyeongnam,Tongyeong-si,Other transport equipment
Gyeongnam,Hadong-gun,Other transport equipment
Gyeongnam,Hamyang-gun,Other transport equipment
Gyeongbuk,Gunwi-gun,Other transport equipment
Gyeongbuk,Bonghwa-gun,Other transport equipment
Gyeongbuk,Yeongdeok-gun,Other transport equipment
Gyeongbuk,Yeongyang-gun,Other transport equipment
Gyeongbuk,Yecheon-gun,Other transport equipment
Gyeongbuk,Ulleung-gun,Other transport equipment
Gyeongbuk,Uiseong-gun,Other transport equipment
Gyeongbuk,Cheongdo-gun,Other transport equipment
Gyeongbuk,Cheongsong-gun,Other transport equipment
Busan,Dongnae-gu,Other transport equipment
Busan,Seo-gu,Other transport equipment
Busan,Yeonje-gu,Other transport equipment
Busan,Yeongdo-gu,Other transport equipment
Seoul,Gangbuk-gu,Other transport equipment
Seoul,Yangcheon-gu,Other transport equipment
Seoul,Jungnang-gu,Other transport equipment
Ulsan,Dong-gu,Other transport equipment
Incheon,Ganghwa-gun,Other transport equipment
Incheon,Ongjin-gun,Other transport equipment
Jeonnam,Gokseong-gun,Other transport equipment
