ID,Province,Municipality,GRDP
202,Gyeongnam,Changnyeong-gun,2474636
203,Gyeongnam,Goseong-gun,2292902
204,Gyeongnam,Namhae-gun,1134093
205,Gyeongnam,Hadong-gun,2164021
206,Gyeongnam,Sancheong-gun,1096030
207,Gyeongnam,Hamyang-gun,1053148
208,Gyeongnam,Geochang-gun,1648855
209,Gyeongnam,Hapcheon-gun,1151431
210,Gangwon,Chuncheon-si,8133318
211,Gangwon,Wonju-si,9066919
212,Gangwon,Gangneung-si,6092737
213,Gangwon,Donghae-si,3168301
214,Gangwon,Taebaek-si,1025466
215,Gangwon,Sokcho-si,1848311
216,Gangwon,Samcheok-si,2606300
217,Gangwon,Hongcheon-gun,2427497
218,Gangwon,Hoengseong-gun,1753743
219,Gangwon,Yeongwol-gun,1300918
220,Gangwon,Pyeongchang-gun,1405949
221,Gangwon,Jeongseon-gun,1267721
222,Gangwon,Cheorwon-gun,2005574
223,Gangwon,Hwacheon-gun,1464125
224,Gangwon,Yanggu-gun,1016499
225,Gangwon,Inje-gun,1717530
226,Gangwon,Goseong-gun,1290653
227,Gangwon,Yangyang-gun,1065003
228,Jeju,Jeju-si,14316106
229,Jeju,Seogwipo-si,5299652
